Value,Qty,Price Ea.,Price total (MOQ),LCSC link
ESP32-C3-WROOM-02-N4 (MCU),1,3.13,3.13,https://www.lcsc.com/product-detail/C2934560.html
DRV8876PWPR (Dual DC Motor Driver),2,0.6088,1.22,https://www.lcsc.com/product-detail/C575551.html
LM2596SX-5.0/NOPB (5V buck),1,0.8804,0.88,https://www.lcsc.com/product-detail/C10002.html
AMS1117-3.3V (3.3V LDO),1,0.0342,0.36,https://www.lcsc.com/product-detail/C5120765.html
FST-1230 Buzzer,1,0.4612,0.46,https://www.lcsc.com/product-detail/C391037.html
47uF 50V electrolytic (RVT1H470M0607),1,0.029,0.61,https://www.lcsc.com/product-detail/C72523.html
10uF 25V X5R 0805 (CL21A106KAYNNNE),7,0.0101,0.20,https://www.lcsc.com/product-detail/C15850.html
0.1uF 50V X7R 0805 (CL21B104KBCNNNC),7,0.0060,0.30,https://www.lcsc.com/product-detail/C1711.html
1uF 50V X7R 0805 (CL21B105KBFNNNE),1,0.0092,0.18,https://www.lcsc.com/product-detail/C28323.html
0.022uF 50V X7R 0805 (TCC0805X7R223K500DT),2,0.0058,0.58,https://www.lcsc.com/product-detail/C282752.html
330uF bulk cap (RVT1E331M0810),1,0.0540,0.54,https://www.lcsc.com/product-detail/C335985.html
SS54 Schottky diode,1,0.0450,0.45,https://www.lcsc.com/product-detail/C22452.html
SK6812 RGB LED,4,0.0850,0.43,https://www.lcsc.com/product-detail/C5378720.html
XL-2012UVA Power LED,1,0.0130,0.65,https://www.lcsc.com/product-detail/C7371915.html
10k 0805 resistor,7,0.0018,0.18,https://www.lcsc.com/product-detail/C17414.html
5.1k 0805 resistor,2,0.0019,0.19,https://www.lcsc.com/product-detail/C27834.html
200R 0805 resistor,1,0.0013,0.14,https://www.lcsc.com/product-detail/C2933534.html
TS-1088-AR02016 Tactile Switch,2,0.0417,0.42,https://www.lcsc.com/product-detail/C720477.html
KF301-5.0-2P Terminal Block,3,0.0867,0.43,https://www.lcsc.com/product-detail/C474881.html
DC-005-A200 Barrel Jack,1,0.1161,0.58,https://www.lcsc.com/product-detail/C720557.html
USB-TYPE-C-018 Receptacle,1,0.0484,0.48,https://www.lcsc.com/product-detail/C2927038.html
PZ2.54-2*40-SMT (to cut),1,0.4828,0.48,https://www.lcsc.com/product-detail/C5378174.html
CYA1040-33UH Inductor,1,0.3500,1.60,https://www.lcsc.com/product-detail/C6364680.html



Total,,,"14.49",